customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST0000,Male,0,Yes,No,42,Yes,Yes,Fiber optic,Yes,No internet service,No internet service,Yes,Yes,No internet service,Month-to-month,Yes,Credit card (automatic),40.20939596249214,2998.2513413995543,No
CUST0001,Female,1,Yes,Yes,68,Yes,Yes,DSL,No,Yes,No,No,No internet service,Yes,Two year,No,Mailed check,64.5751153310103,3234.565377281415,No
CUST0002,Male,0,No,Yes,62,Yes,No,No,No,No,No internet service,Yes,No,No,One year,No,Credit card (automatic),113.5342260763195,4481.596585633172,No
CUST0003,Male,0,Yes,No,69,Yes,Yes,Fiber optic,No,No internet service,Yes,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,103.80910415887917,2647.182068642919,Yes
CUST0004,Male,0,Yes,No,64,No,Yes,DSL,Yes,No,No,No,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),72.55118645121031,8395.698484755105,Yes
CUST0005,Female,1,Yes,No,66,Yes,No,No,No,No,No,Yes,Yes,No internet service,Month-to-month,Yes,Electronic check,42.46250801531986,396.9879874688218,No
CUST0006,Male,0,Yes,No,53,Yes,No phone service,Fiber optic,No,Yes,No internet service,No,No internet service,No internet service,Month-to-month,Yes,Electronic check,73.11762481226108,6374.553410319427,No
CUST0007,Male,0,No,No,35,Yes,Yes,DSL,Yes,No internet service,Yes,Yes,Yes,No internet service,Month-to-month,Yes,Credit card (automatic),102.24039607802392,722.6198050119963,No
CUST0008,Male,0,No,No,70,Yes,No phone service,DSL,Yes,Yes,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),86.6777893436267,7418.810207188496,No
CUST0009,Female,0,No,No,14,Yes,No,DSL,No internet service,No,No,Yes,Yes,No internet service,One year,Yes,Bank transfer (automatic),69.40108182753093,4151.658174466073,No
CUST0010,Male,0,No,No,17,Yes,Yes,No,Yes,No internet service,No internet service,No internet service,Yes,Yes,Month-to-month,Yes,Credit card (automatic),42.86388720813747,1956.7568580355505,No
CUST0011,Male,0,No,No,3,Yes,No,No,No internet service,No,Yes,No,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),82.26498233161067,4273.1483473143135,Yes
CUST0012,Male,0,No,No,10,Yes,No phone service,Fiber optic,No internet service,Yes,No,No,No internet service,Yes,Month-to-month,Yes,Mailed check,48.15348825350554,8298.466141770736,No
CUST0013,Male,0,No,No,5,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,19.49208557580767,1436.42088605414,No
CUST0014,Female,0,Yes,No,50,Yes,Yes,Fiber optic,No,No,Yes,Yes,No internet service,No,Month-to-month,No,Mailed check,56.41233309032151,5262.795234137632,No
CUST0015,Male,0,No,No,57,Yes,No,Fiber optic,No,Yes,No,No internet service,No,No,Month-to-month,Yes,Bank transfer (automatic),38.53156477260004,4130.183953542887,No
CUST0016,Female,0,No,Yes,59,Yes,No,Fiber optic,No,Yes,Yes,Yes,No internet service,Yes,Month-to-month,No,Electronic check,108.07738390309183,6064.694860628832,No
CUST0017,Female,0,No,No,17,Yes,No,Fiber optic,No,No,No internet service,No internet service,No internet service,Yes,One year,Yes,Credit card (automatic),30.3862987608048,1521.4328817058315,No
CUST0018,Female,1,No,No,66,Yes,No phone service,DSL,No,No internet service,No,No internet service,No,No internet service,Month-to-month,Yes,Credit card (automatic),52.337156375941376,5180.407289610309,No
CUST0019,Male,0,Yes,Yes,16,Yes,No phone service,DSL,No,No internet service,Yes,No,Yes,Yes,Two year,No,Electronic check,39.83661766770938,7392.5568227126205,No
CUST0020,Female,1,No,No,33,Yes,No phone service,DSL,No internet service,No internet service,Yes,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,35.215370850685304,240.1173637547662,No
CUST0021,Male,0,No,Yes,29,Yes,No phone service,DSL,No internet service,No,No internet service,Yes,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),68.023792765761,6973.9789464238365,No
CUST0022,Female,0,Yes,No,18,Yes,Yes,No,No,No,No internet service,No,No internet service,No,Two year,Yes,Bank transfer (automatic),116.85139552491604,4131.727652787538,No
CUST0023,Female,1,No,Yes,8,Yes,No phone service,No,No,Yes,No internet service,No internet service,Yes,Yes,Month-to-month,Yes,Electronic check,56.640199921635194,1680.107929645868,No
CUST0024,Female,0,No,No,39,Yes,No phone service,No,No internet service,No internet service,No internet service,Yes,Yes,No internet service,Month-to-month,No,Credit card (automatic),67.33573359612737,5289.974790278505,No
CUST0025,Female,0,No,No,43,Yes,Yes,DSL,No internet service,Yes,Yes,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),82.21261078976384,2619.0331506519574,No
CUST0026,Female,0,No,Yes,58,Yes,No phone service,Fiber optic,Yes,No,Yes,No,No internet service,No internet service,Month-to-month,Yes,Mailed check,87.88886657965008,8556.289961983408,No
CUST0027,Female,0,No,No,24,Yes,No,Fiber optic,Yes,No internet service,Yes,No internet service,No,No,One year,Yes,Bank transfer (automatic),63.573110202819144,2365.841555643719,No
CUST0028,Female,0,No,Yes,70,Yes,No phone service,Fiber optic,No,No,No,No internet service,Yes,No internet service,Two year,Yes,Mailed check,26.302927771917382,6211.274974369473,No
CUST0029,Female,0,No,No,52,Yes,Yes,DSL,No,Yes,Yes,No,Yes,No,Two year,Yes,Mailed check,102.58148493602167,4368.19163471404,No
CUST0030,Male,0,Yes,No,47,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),73.74290261228325,3440.6415433935863,No
CUST0031,Male,0,Yes,Yes,70,Yes,Yes,DSL,No internet service,No,Yes,No,Yes,No,Two year,Yes,Credit card (automatic),65.30793720331772,4575.0490468442185,No
CUST0032,Female,0,No,No,52,Yes,No,No,No,No,No internet service,No,No internet service,No,Two year,No,Mailed check,102.80220018197588,2664.027817124665,No
CUST0033,Female,0,Yes,Yes,48,Yes,No,Fiber optic,No,No internet service,Yes,Yes,Yes,No,Month-to-month,No,Mailed check,78.37680978539674,4019.4254308939253,No
CUST0034,Female,0,No,No,42,No,No,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Electronic check,39.597856669949564,3269.5825307787536,No
CUST0035,Male,0,Yes,No,18,Yes,Yes,Fiber optic,Yes,Yes,No internet service,No internet service,No,Yes,Month-to-month,No,Bank transfer (automatic),60.80160736489516,5626.919956449093,No
CUST0036,Female,1,No,No,65,Yes,No,DSL,Yes,Yes,Yes,No internet service,Yes,No internet service,Month-to-month,No,Bank transfer (automatic),87.42077726511053,6276.592658897874,Yes
CUST0037,Male,0,Yes,No,33,No,No,DSL,No,No,No,No internet service,Yes,No,One year,Yes,Credit card (automatic),117.30707066812049,6679.500012532662,No
CUST0038,Male,1,No,No,72,Yes,No,Fiber optic,No internet service,No,Yes,Yes,No,No,One year,Yes,Electronic check,79.78593542378746,6831.640477114676,No
CUST0039,Male,0,Yes,No,53,Yes,No,Fiber optic,Yes,No internet service,No internet service,No internet service,No internet service,Yes,Month-to-month,Yes,Electronic check,37.78858791560606,3082.818575067467,Yes
CUST0040,Male,0,Yes,No,0,Yes,No,DSL,No,Yes,No,Yes,No,Yes,One year,Yes,Credit card (automatic),19.99120813327049,5351.734613426577,No
CUST0041,Male,0,No,Yes,54,Yes,No phone service,Fiber optic,Yes,Yes,No internet service,No internet service,No internet service,No,One year,Yes,Bank transfer (automatic),48.7590950059103,4406.315741735386,No
CUST0042,Female,0,No,No,14,No,Yes,DSL,No internet service,Yes,No,No,No internet service,Yes,Month-to-month,No,Electronic check,61.24957326457019,5565.6861217095675,Yes
CUST0043,Female,0,Yes,Yes,14,No,No,DSL,No internet service,No,No internet service,Yes,No,Yes,One year,Yes,Bank transfer (automatic),80.83403719367143,3086.2759535074633,No
CUST0044,Female,0,Yes,Yes,22,No,No,DSL,No internet service,Yes,No,Yes,No,No,One year,Yes,Electronic check,37.81844347129639,1677.088946361333,No
CUST0045,Female,0,No,No,65,No,No,Fiber optic,No internet service,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),26.67770222790164,6310.023986324522,No
CUST0046,Female,1,Yes,No,45,Yes,No,Fiber optic,No,No internet service,Yes,No internet service,Yes,No,Month-to-month,Yes,Electronic check,40.728762694966846,3296.141265232003,No
CUST0047,Male,0,No,No,8,Yes,No,Fiber optic,No internet service,No,No internet service,No,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),71.95999768865715,6360.772808737231,Yes
CUST0048,Female,0,Yes,No,65,Yes,No phone service,DSL,No,No internet service,Yes,No internet service,No internet service,No,Two year,Yes,Mailed check,31.33937109053698,6149.399627720832,No
CUST0049,Female,0,Yes,No,65,Yes,No phone service,DSL,No internet service,No internet service,No internet service,Yes,No internet service,No internet service,Month-to-month,No,Electronic check,33.67536573203721,8626.431063030393,No
CUST0050,Male,0,No,No,17,Yes,No,Fiber optic,No,No,No internet service,No,No,Yes,Month-to-month,Yes,Credit card (automatic),108.30887828676393,3187.2489424558776,Yes
CUST0051,Female,0,No,Yes,16,Yes,No,DSL,No internet service,No internet service,Yes,Yes,No internet service,No,One year,Yes,Mailed check,27.232321365146106,5936.304143792502,No
CUST0052,Male,0,No,No,71,No,No,DSL,No,No,No,Yes,No internet service,Yes,Two year,No,Mailed check,88.49830804985426,6026.0501572434605,No
CUST0053,Female,1,Yes,No,33,Yes,Yes,Fiber optic,Yes,Yes,No internet service,No internet service,No internet service,Yes,Month-to-month,Yes,Electronic check,20.73089001604165,8152.658550109857,No
CUST0054,Male,0,Yes,No,68,Yes,Yes,Fiber optic,No,No,No,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,77.24265116079647,4341.85333366989,No
CUST0055,Female,0,Yes,No,63,Yes,No phone service,Fiber optic,No,No internet service,No internet service,No,No,No,Month-to-month,Yes,Bank transfer (automatic),101.15132247239555,5780.202357736514,No
CUST0056,Female,0,No,No,43,Yes,No phone service,DSL,No internet service,No internet service,Yes,No internet service,Yes,No internet service,Month-to-month,No,Credit card (automatic),71.95309296269744,6559.313818463819,No
CUST0057,Male,0,Yes,No,28,Yes,Yes,Fiber optic,No internet service,Yes,No,No internet service,Yes,Yes,Month-to-month,No,Bank transfer (automatic),43.922002020518626,8593.304279296419,No
CUST0058,Male,0,Yes,No,61,Yes,No,Fiber optic,Yes,No,Yes,No internet service,No,No internet service,Month-to-month,Yes,Credit card (automatic),20.291585625974314,3997.6115213090966,No
CUST0059,Male,0,No,No,15,Yes,No phone service,Fiber optic,No internet service,Yes,No internet service,Yes,Yes,No,Month-to-month,No,Mailed check,19.25126736018444,2242.3895436614616,Yes
CUST0060,Male,0,Yes,No,51,Yes,No,DSL,No,No internet service,Yes,Yes,No internet service,No,Two year,Yes,Bank transfer (automatic),100.78418105117173,5265.892039696065,No
CUST0061,Male,0,Yes,Yes,1,Yes,No,Fiber optic,No internet service,No,No internet service,No internet service,Yes,Yes,One year,No,Electronic check,81.35501947940824,3780.2328046676575,No
CUST0062,Male,0,No,Yes,60,Yes,No phone service,Fiber optic,No internet service,No internet service,No,Yes,Yes,No,One year,No,Mailed check,63.98293167933276,869.0482922064666,No
CUST0063,Male,0,No,Yes,3,Yes,Yes,DSL,No,No,No,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,69.12603778662366,3886.1630881180736,Yes
CUST0064,Male,0,No,No,51,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No internet service,No internet service,One year,No,Electronic check,71.58768588329697,6037.036555839075,No
CUST0065,Female,0,No,No,40,Yes,Yes,Fiber optic,No internet service,Yes,Yes,No internet service,No internet service,Yes,Month-to-month,Yes,Bank transfer (automatic),54.28185427506463,3997.289134142699,No
CUST0066,Female,0,No,No,51,No,No,Fiber optic,No internet service,No internet service,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),101.71032327077785,4971.250436923705,Yes
CUST0067,Male,1,No,Yes,30,Yes,No,DSL,No,Yes,Yes,No internet service,Yes,No internet service,One year,Yes,Mailed check,118.11105914908951,6169.063824324914,No
CUST0068,Female,1,No,No,25,No,No,DSL,Yes,Yes,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),69.64096571067816,4419.489890662705,No
CUST0069,Female,0,No,No,26,Yes,Yes,Fiber optic,Yes,No internet service,No,Yes,No,No internet service,Two year,No,Bank transfer (automatic),67.8479245909838,856.7700014205717,No
CUST0070,Female,0,No,No,50,No,No,Fiber optic,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,111.38154038607823,6016.99646739255,No
CUST0071,Female,0,Yes,No,47,Yes,No phone service,Fiber optic,No,No internet service,Yes,No,Yes,No internet service,One year,Yes,Credit card (automatic),84.81860165005985,1701.5795703304498,No
CUST0072,Male,0,No,No,10,Yes,No,Fiber optic,No internet service,No,Yes,No,No,No internet service,Month-to-month,Yes,Electronic check,82.4282018706285,6223.048095782975,No
CUST0073,Female,1,No,Yes,7,Yes,No phone service,Fiber optic,No,No internet service,No,Yes,No internet service,Yes,One year,Yes,Credit card (automatic),24.46145761816528,2677.479731751557,No
CUST0074,Male,0,Yes,Yes,11,Yes,Yes,Fiber optic,No,No,No internet service,No,No,No internet service,Two year,Yes,Mailed check,67.44712745730166,4671.571994331706,No
CUST0075,Female,1,No,Yes,44,Yes,No,DSL,No internet service,No internet service,No internet service,No internet service,Yes,No,One year,No,Electronic check,78.69912162828953,576.7004346445482,No
CUST0076,Female,1,Yes,No,33,Yes,No,Fiber optic,No,No,Yes,No,No internet service,Yes,One year,Yes,Mailed check,100.48725095957172,2496.2906315704895,No
CUST0077,Female,0,Yes,Yes,71,Yes,Yes,Fiber optic,No internet service,No internet service,Yes,No,No,No internet service,Two year,Yes,Bank transfer (automatic),91.96377816774148,8032.042521314982,No
CUST0078,Male,0,No,No,46,Yes,No,DSL,Yes,No,No internet service,No,Yes,Yes,Month-to-month,No,Mailed check,117.79007302901098,4569.059605256645,No
CUST0079,Female,0,Yes,No,20,Yes,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),26.11968588418462,7885.161027914449,No
